,cat_0,cat_1,cat_2,cat_3,cat_4,cat_5
0,Consumer Discretionary,,,,,
1,,Automobiles & Components,,,,
2,,,Tires,,,
3,,,Vehicles,,,
4,,,,Autos,,
5,,,,,Dealerships,
6,,,,,Used Cars,
7,,,,Recreational Vehicles,,
8,,,,,ATVs,
9,,,,,Boating,
10,,,,,Motorcycles,
11,,Consumer Discretionary Retail,,,,
12,,,Auto Parts & Service,,,
13,,,,Auto Parts Retail,,
14,,,,Auto Repair,,
15,,,Department Stores,,,
16,,,Ecommerce,,,
17,,,Electronics Retail,,,
18,,,Home Furnishing Retail,,,
19,,,Home Improvement Retail,,,
20,,,Off-Price Retail,,,
21,,,Specialty Retail,,,
22,,,,Athletic Retail,,
23,,,,Beauty & Cosmetics Retail,,
24,,,,Book Retail,,
25,,,,Craft Retail,,
26,,,,Farm Supply,,
27,,,,Footwear Retail,,
28,,,,Gifts & Occasions,,
29,,,,Jewelry Retail,,
30,,,,Office Goods Retail,,
31,,,,Outdoors Retail,,
32,,,,Pet Retail,,
33,,,,Specialty Apparel,,
34,,,,,Baby & Toddler's Clothing Retail,
35,,,,,Casual Clothing Retail,
36,,,,,Fast Fashion Retail,
37,,,,,Lingerie Retail,
38,,,,,Men's Clothing Retail,
39,,,,,Outerwear Retail,
40,,,,,Teen Clothing Retail,
41,,,,,Women's Clothing Retail,
42,,,,Sporting Goods Retail,,
43,,Consumer Durables & Apparel,,,,
44,,,Apparel Brands,,,
45,,,,Athletic Apparel,,
46,,,,Denim,,
47,,,,Lingerie,,
48,,,,Luxury Apparel,,
49,,,,Men's,,
50,,,,Outerwear,,
51,,,,Socks,,
52,,,,Swimwear,,
53,,,,Women's Apparel,,
54,,,,,Shapewear,
55,,,,Workwear,,
56,,,Beauty & Cosmetics,,,
57,,,,Fragrance,,
58,,,,Nail Care,,
59,,,,Skin Care,,
60,,,Consumer Electronics,,,
61,,,,Audio,,
62,,,,Cameras,,
63,,,,Computers,,
64,,,,Mobile Plans,,
65,,,,TV & Home Theater,,
66,,,Footwear,,,
67,,,,Boots,,
68,,,,Sandals,,
69,,,,Sneakers,,
70,,,General Merchandise,,,
71,,,,Toys & Games,,
72,,,Handbags & Accessories,,,
73,,,Home & Household,,,
74,,,,Bakeware,,
75,,,,Cookware,,
76,,,,Cutlery,,
77,,,,Household Appliance,,
78,,,,Household Electronics,,
79,,,,Lawn & Outdoors,,
80,,,Luxury Goods,,,
81,,,,Jewelry,,
82,,,,Watches,,
83,,,Sporting Goods Equipment,,,
84,,Consumer Services,,,,
85,,,Amusement Parks & Tourist Attractions,,,
86,,,Casino / Gaming,,,
87,,,,Free-To-Play Casino Games,,
88,,,,In-Person Casino,,
89,,,,Sportsbook & iCasino,,
90,,,,,Daily Fantasy Sports,
91,,,,,Online Casino,
92,,,,,Online Sportsbook,
93,,,Education,,,
94,,,,For-Profit Education,,
95,,,,Not-For-Profit Education,,
96,,,Health & Wellness,,,
97,,,,At Home Fitness,,
98,,,,Gyms,,
99,,,,,Budget Gyms,
100,,,,,Class-Based Gyms,
101,,,,,Luxury Gyms,
102,,,,Health Devices,,
103,,,,,Non-Wearables,
104,,,,,Wearables,
105,,,,Massage and Spa,,
106,,,,Meditation,,
107,,,,Supplements,,
108,,,,Telemedicine,,
109,,,,Vitamins,,
110,,,,Weight Loss,,
111,,,Other Consumer Services,,,
112,,,,Bars & Clubs,,
113,,,,Live Events,,
114,,,,Moving & Storage,,
115,,,Pet Brands,,,
116,,,,Pet Food,,
117,,,,Pet Services,,
118,,,,Pet Supplies,,
119,,,Restaurants,,,
120,,,,Casual Dining,,
121,,,,,Breakfast,
122,,,,Fast Casual,,
123,,,,Fine Dining,,
124,,,,QSR,,
125,,,,,Burgers,
126,,,,,Chicken,
127,,,,,Coffee Chains,
128,,,,,Dessert,
129,,,,,Pizza,
130,,,,,Sandwiches,
131,,,,,Seafood,
132,,,,,Snack and Beverages,
133,,,,,Tacos,
134,,,,Restaurant Delivery,,
135,,,Ticketing,,,
136,,,Travel & Tourism,,,
137,,,,Booking Services,,
138,,,,Car Rental,,
139,,,,Cruises,,
140,,,,Hotel & Lodging,,
141,,,,Luggage,,
142,,,,Ride Share,,
143,,,,Transportation,,
144,Consumer Staples,,,,,
145,,Consumer Services,,,,
146,,,Health & Wellness,,,
147,,,,Cannabis,,
148,,Consumer Staples Retail,,,,
149,,,Club Retail,,,
150,,,Drug Store,,,
151,,,Fuel,,,
152,,,Grocers,,,
153,,,,"Beer, Wine & Spirits Retail",,
154,,,,Convenience Stores,,
155,,,,Dollar Stores,,
156,,,,Organic Grocers,,
157,,,,Traditional Grocery,,
158,,,Grocery - Direct To Consumer,,,
159,,,Mass Merchant,,,
160,,"Food, Beverage & Tobacco",,,,
161,,,Alcoholic Beverages,,,
162,,,,Beer & Cider,,
163,,,,,Beer,
164,,,,,Cider,
165,,,,Hard Seltzer,,
166,,,,Liquor,,
167,,,,,Aperitifs,
168,,,,,Bourbon,
169,,,,,Brandy,
170,,,,,Gin,
171,,,,,Liqueur,
172,,,,,Raki,
173,,,,,Rum,
174,,,,,Scotch,
175,,,,,Tequila,
176,,,,,Vodka,
177,,,,,Whiskey,
178,,,,Ready To Drink,,
179,,,,Wine,,
180,,,,,Sparkling Wine,
181,,,Food & Beverage,,,
182,,,Food Distribution,,,
183,,,Food Products,,,
184,,,,Baking,,
185,,,,Cannabis Food Items,,
186,,,,Canned Food,,
187,,,,Cereals & Grains,,
188,,,,Dairy & Eggs,,
189,,,,Deli & Cold Cuts,,
190,,,,"Dressings, Sauces, Spreads",,
191,,,,Floral,,
192,,,,Food Items,,
193,,,,Frozen Foods,,
194,,,,Meal Products,,
195,,,,"Meats, Poultry, & Seafood",,
196,,,,Organics,,
197,,,,Prepared Meals,,
198,,,,Produce,,
199,,,,Seasoning & Spices,,
200,,,,Snack Food & Sweets,,
201,,,,Vegan,,
202,,,Non-Alcoholic Beverages,,,
203,,,,Coffees,,
204,,,,Dairy Milks,,
205,,,,Fruit & Vegetable Juices,,
206,,,,"Soft Drinks, Sodas & Colas",,
207,,,,,Seltzer,
208,,,,Sports & Energy Drinks,,
209,,,,Teas & Herbal Infusions,,
210,,,,Waters,,
211,,,Tobacco,,,
212,,Household & Personal Products,,,,
213,,,Baby & Toddler's,,,
214,,,,Baby Bathing,,
215,,,,Baby Feeding,,
216,,,Household Supplies,,,
217,,,,Batteries,,
218,,,,Grill & Outdoor Kitchen,,
219,,,,Kitchenware (Consumable),,
220,,,,Odor Eliminator,,
221,,,,Pest Control & Insecticides,,
222,,,Personal Care,,,
223,,,,Bath Tissue & Paper Products,,
224,,,,Body Soap,,
225,,,,Deodorants & Antiperspirants,,
226,,,,Diapers & Wipes,,
227,,,,Eye Wear,,
228,,,,Feminine Hygiene Care,,
229,,,,First-Aid,,
230,,,,Hair Care,,
231,,,,Oral Care,,
232,,,,OTC Medication,,
233,,,,Shaving & Grooming,,
234,,,Professional Cleaning & Paper Supplies,,,
235,,,,Dish Soap,,
236,,,,Laundry Detergent,,
237,Private Label,,,,,
238,Energy,,,,,
239,,Renewable Energy Equipment,,,,
240,Financials,,,,,
241,,Financial Services & Crypto,,,,
242,,,Banking,,,
243,,,Crypto,,,
244,,,Investing (Non-Crypto),,,
245,,,Payments,,,
246,,Insurance,,,,
247,,,Auto Insurance,,,
248,,,Health Insurance,,,
249,,,Life Insurance,,,
250,,,Property Insurance,,,
251,,Real Estate,,,,
252,,,Real Estate Services,,,
253,,,Specialized REITs,,,
254,Health Care,,,,,
255,,Hospitals,,,,
256,,,Hospital Services,,,
257,Industrials,,,,,
258,,Air Freight & Logistics,,,,
259,,Auto Parts Distribution,,,,
260,,Manufacturing,,,,
261,,,Aerospace Manufacturing,,,
262,,,Auto Manufacturing,,,
263,,Materials,,,,
264,,,Building Materials,,,
265,,,Commodities,,,
266,,,Electronic Materials,,,
267,Information Technology,,,,,
268,,Communication Services,,,,
269,,,Dating,,,
270,,,Email & Messaging,,,
271,,,,Email,,
272,,,,Instant Messaging,,
273,,,Search Engine,,,
274,,,Social Media,,,
275,,Software & Services,,,,
276,,,Cash Back Rewards,,,
277,,,Developer Tools,,,
278,,,E-Learning,,,
279,,,Internet Services,,,
280,,,,Internet Browser,,
281,,,Navigation,,,
282,,,Photo & Video,,,
283,,,Productivity,,,
284,,,Security Software,,,
285,,,Video Conferencing,,,
286,,,Weather,,,
287,Media & Entertainment,,,,,
288,,Books,,,,
289,,Film & TV Entertainment,,,,
290,,,Cable Providers,,,
291,,,Film & TV Streaming,,,
292,,,Movies,,,
293,,,TV Shows,,,
294,,,Major Networks,,,
295,,,Movie Theaters,,,
296,,,News Services,,,
297,,,Satellite Providers,,,
298,,,Studios,,,
299,,,Video On Demand,,,
300,,Media,,,,
301,,,Digital Media,,,
302,,,Sports Media,,,
303,,Music,,,,
304,,,Artist Services,,,
305,,,Distributors,,,
306,,,Licensing,,,
307,,,Music Labels,,,
308,,,Music Streaming Platforms,,,
309,,,Song Funds,,,
310,,,Streaming Radio,,,
311,,Platforms and Microtransactions,,,,
312,,Sports,,,,
313,,,Professional Sports,,,
314,,Talent & Entertainment,,,,
315,,Traditional Media,,,,
316,,Video Games,,,,
317,,,Gaming Hardware,,,
318,,,Mobile and Online Gaming,,,
319,,,Traditional Developers and Publishers,,,
320,Utilities,,,,,
